model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
deepseek-coder:6.7b,readme_plus_code_minus_readme_only,16,-6.489023317930846,27.674402268269876,-19.37071076859464,7.01580501285259,-0.042710353372118086,0.30503386511922453,-0.18494187338396897,0.11605627828054292,0.025167297979797977,0.09770916443434417,-0.023729403409090917,0.07042440025252518,0.24389880952380952,0.5592869939574648,-0.024077380952380958,0.5145833333333333,16.608,7.793074823200403,12.794500000000003,20.284992187500002
deepseek-coder:6.7b,bm25_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,bm25_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,full_minus_readme_plus_code,16,2.7145712810063207,10.184746306777933,-1.4742698712702438,8.092916074717055,0.013913690476190474,0.11229391870446294,-0.03504464285714286,0.0730691964285714,0.02648313492063492,0.06254976497803508,0.001723958333333339,0.06061619543650794,-0.060714285714285714,0.1955456346689827,-0.15625,0.027678571428571427,2.414124999999999,6.9749369495358176,-0.37552656250000066,6.076968749999999
deepseek-coder:6.7b,readme_plus_code_minus_file_tree,16,-11.663870067636507,18.173686925387866,-20.00721359003235,-3.00368597964474,-0.08989962243638715,0.24466789349989532,-0.20274707063769568,0.03574645483193271,-0.020381944444444446,0.18146224573443404,-0.10909300595238096,0.05435689484126983,0.3022321428571429,0.28407295586781917,0.16264694940476193,0.4387258184523808,15.8584375,9.313833073937209,11.343596875,20.159925000000005
deepseek-coder:6.7b,readme_plus_code_minus_random_code,16,-7.532816262441,24.841923631537068,-19.674417215418256,4.310918806987684,-0.05757783882783882,0.28696388648939136,-0.1930002289377289,0.08615427541208782,-0.007942257395382402,0.10909172986093976,-0.061238289705086595,0.04311199044011533,0.18921130952380955,0.4571824281711797,-0.01899925595238094,0.4156287202380952,0.9645625000000011,10.152998952485252,-3.8296828124999984,5.54843125
deepseek-coder:6.7b,routes_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,models_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
deepseek-coder:6.7b,oracle_upper_bound_minus_readme_plus_code,16,0.20026403881622068,22.090051973617573,-10.603252963021964,10.600013498233814,0.01645489926739928,0.25970866402005655,-0.10614697802197802,0.13782552083333333,0.009574652777777781,0.08933396637640272,-0.03079361979166666,0.05398065476190476,0.013392857142857144,0.36404118258140566,-0.15624999999999997,0.18928571428571428,8.678499999999998,12.007778745463293,3.1737062500000013,14.4779234375
llama3.2:3b,readme_plus_code_minus_readme_only,16,-1.8450595763863757,15.00345466600108,-9.498289990793392,4.82927764873118,-0.0049585218702865785,0.21385061286633417,-0.1080579599628313,0.09160259776987716,0.01782518262987013,0.13027102044597919,-0.04591856201524171,0.07784195188492062,0.021974206349206354,0.26626074843131275,-0.09383122519841268,0.1483159722222222,10.681999999999999,15.026634091949312,3.9846015625000004,17.847514062500004
